name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Betfair,Betdaq,Matchbook
dundee,Scotland,251.0,251.0,501.0,251.0,501.0,501.0,126.0,251.0,251.0,,451.0,,,251.0,251.0,,,251.0,,251.0,,251.0,,161.0,
motherwell,Scotland,501.0,1001.0,751.0,501.0,751.0,751.0,401.0,251.0,501.0,,1001.0,,,751.0,251.0,,,751.0,,251.0,,501.0,,151.0,
partick,Scotland,1001.0,751.0,501.0,751.0,501.0,751.0,1001.0,501.0,501.0,,1001.0,,,751.0,751.0,,,751.0,,751.0,,1001.0,,151.0,
ross county,Scotland,1001.0,2001.0,751.0,1001.0,751.0,1001.0,401.0,326.0,501.0,,1001.0,,,1001.0,751.0,,,1001.0,,1001.0,,1001.0,,151.0,
hamilton,Scotland,1501.0,1001.0,1501.0,1001.0,1501.0,1001.0,2501.0,501.0,501.0,,2501.0,,,1501.0,1001.0,,,1501.0,,1001.0,,1501.0,,151.0,
kilmarnock,Scotland,2501.0,2001.0,1001.0,1501.0,1001.0,1001.0,1501.0,501.0,501.0,,2501.0,,,2001.0,1001.0,,,2001.0,,1001.0,,2001.0,,151.0,
psv,Holland,,,2.25,,2.25,,,,,2.2,,,,,,,,,2.2,,2.2,2.25,1.95,,
ajax,Holland,,,2.63,,2.63,,,,,2.4,,,,,,,,,2.4,,2.4,2.5,2.39,,
feyenoord,Holland,,,6.0,,6.0,,,,,6.0,,,,,,,,,6.0,,6.0,6.5,4.8,,
vitesse,Holland,,,26.0,,26.0,,,,,26.0,,,,,,,,,26.0,,26.0,26.0,19.0,,
az alkmaar,Holland,,,41.0,,41.0,,,,,51.0,,,,,,,,,51.0,,51.0,51.0,29.0,,
twente,Holland,,,51.0,,51.0,,,,,51.0,,,,,,,,,51.0,,51.0,56.0,29.0,,
heerenveen,Holland,,,101.0,,101.0,,,,,71.0,,,,,,,,,71.0,,71.0,81.0,3.85,,
zwolle,Holland,,,201.0,,201.0,,,,,201.0,,,,,,,,,201.0,,201.0,201.0,3.85,,
groningen,Holland,,,201.0,,201.0,,,,,201.0,,,,,,,,,201.0,,201.0,226.0,3.85,,
utrecht,Holland,,,251.0,,251.0,,,,,251.0,,,,,,,,,251.0,,251.0,201.0,3.85,,
willem ii,Holland,,,501.0,,501.0,,,,,501.0,,,,,,,,,501.0,,501.0,601.0,3.85,,
nec nijmegen,Holland,,,501.0,,501.0,,,,,751.0,,,,,,,,,751.0,,751.0,751.0,3.85,,
cambuur,Holland,,,1001.0,,1001.0,,,,,501.0,,,,,,,,,501.0,,501.0,501.0,3.85,,
