name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Bwin,Unibet,32Red Bet,Betfair,Betdaq,Matchbook
almeria,Spain,5001.0,3001.0,2501.0,501.0,2501.0,501.0,3001.0,1001.0,1001.0,3001.0,5001.0,5001.0,1001.0,2001.0,,5001.0,1001.0,1000.0,2001.0,5001.0,3001.0,3001.0,950.0,849.0,
cordoba,Spain,5001.0,3001.0,3001.0,501.0,3001.0,,4001.0,1001.0,2001.0,5001.0,5001.0,5001.0,3001.0,2501.0,,5001.0,5001.0,1000.0,2501.0,5001.0,5001.0,5001.0,950.0,849.0,
eibar,Spain,5001.0,3001.0,3001.0,501.0,3001.0,501.0,5001.0,1001.0,2001.0,5001.0,5001.0,5001.0,3001.0,2501.0,,5001.0,501.0,1000.0,2501.0,5001.0,5001.0,5001.0,950.0,849.0,
chelsea,England,2.88,2.88,2.88,2.8,2.88,2.8,2.88,2.9,2.88,2.85,2.88,2.9,2.88,2.88,2.88,2.88,2.88,2.75,2.88,2.9,2.85,2.85,2.9,2.94,2.98
man city,England,3.25,3.4,3.0,3.5,3.0,3.1,3.25,3.5,3.25,3.3,2.88,3.5,3.5,3.4,3.25,3.5,3.5,3.15,3.4,3.4,3.3,3.3,3.52,3.57,3.72
man utd,England,5.5,5.5,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.0,6.0,6.0,5.5,5.0,5.5,6.0,5.5,5.25,5.0,5.5,5.0,5.0,5.46,5.56,5.65
arsenal,England,7.0,7.0,7.0,6.5,7.0,7.0,7.0,6.5,6.5,7.0,7.5,7.5,7.0,6.5,7.0,6.5,6.5,6.5,6.5,6.5,7.0,7.0,6.89,7.01,7.93
liverpool,England,11.0,12.0,11.0,11.0,11.0,11.0,13.0,13.0,11.0,12.0,12.0,13.0,12.0,12.0,12.0,13.0,11.0,11.0,12.0,12.0,12.0,12.0,12.9,13.1,13.4
tottenham,England,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,60.0,67.0,51.0,67.0,67.0,76.0,78.0,60.0
everton,England,126.0,126.0,101.0,151.0,101.0,151.0,151.0,101.0,101.0,151.0,151.0,151.0,151.0,151.0,126.0,151.0,151.0,122.0,151.0,126.0,151.0,151.0,162.0,165.0,150.0
newcastle,England,1001.0,751.0,1001.0,751.0,1001.0,1001.0,1001.0,1001.0,1001.0,500.0,1001.0,1001.0,1001.0,751.0,1001.0,1001.0,1001.0,851.0,751.0,1001.0,500.0,500.0,912.0,931.0,990.0
southampton,England,1501.0,1001.0,501.0,1001.0,501.0,1001.0,1501.0,1001.0,1001.0,1501.0,1501.0,1501.0,1501.0,1001.0,1001.0,1501.0,751.0,1001.0,1001.0,501.0,1501.0,1501.0,950.0,970.0,496.0
stoke,England,2001.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,1001.0,1001.0,2501.0,2001.0,3001.0,2501.0,2501.0,2001.0,3001.0,2501.0,1001.0,2501.0,2501.0,2501.0,2501.0,950.0,970.0,990.0
aston villa,England,4001.0,3001.0,2501.0,2501.0,2501.0,1501.0,4001.0,1001.0,2501.0,3001.0,4001.0,4001.0,2501.0,2501.0,2001.0,3001.0,2501.0,1001.0,2501.0,2001.0,3001.0,3001.0,950.0,970.0,990.0
swansea,England,2501.0,4001.0,2501.0,2001.0,2501.0,2501.0,4001.0,1001.0,2501.0,2501.0,2501.0,4001.0,2501.0,2501.0,2501.0,3001.0,4001.0,1001.0,2501.0,1501.0,2501.0,2501.0,950.0,970.0,990.0
hull,England,5001.0,5001.0,5001.0,5001.0,5001.0,3001.0,5001.0,1001.0,5001.0,5001.0,5001.0,5001.0,5001.0,5001.0,5001.0,5001.0,4001.0,1001.0,5001.0,5001.0,5001.0,5001.0,950.0,970.0,990.0
leicester,England,5001.0,5001.0,5001.0,5001.0,5001.0,5001.0,5001.0,1001.0,5001.0,2501.0,5001.0,5001.0,5001.0,5001.0,5001.0,5001.0,5001.0,1001.0,5001.0,5001.0,2501.0,2501.0,950.0,970.0,990.0
sunderland,England,2501.0,4001.0,5001.0,3501.0,5001.0,2501.0,5001.0,1001.0,2501.0,3001.0,5001.0,5001.0,2501.0,2501.0,5001.0,4001.0,2501.0,1001.0,2501.0,3001.0,3001.0,3001.0,950.0,970.0,990.0
west brom,England,4001.0,5001.0,5001.0,5001.0,5001.0,3001.0,5001.0,1001.0,5001.0,5001.0,5001.0,5001.0,5001.0,5001.0,5001.0,5001.0,5001.0,1001.0,5001.0,3001.0,5001.0,5001.0,950.0,970.0,990.0
west ham,England,2501.0,4001.0,5001.0,4001.0,5001.0,3001.0,5001.0,1001.0,2501.0,3001.0,5001.0,5001.0,2501.0,3001.0,5001.0,5001.0,4001.0,1001.0,3001.0,2001.0,3001.0,3001.0,950.0,970.0,990.0
crystal palace,England,4001.0,5001.0,5001.0,5001.0,5001.0,3001.0,5001.0,1001.0,5001.0,5001.0,5001.0,7501.0,5001.0,5001.0,5001.0,5001.0,4001.0,1001.0,5001.0,5001.0,5001.0,5001.0,950.0,970.0,990.0
qpr,England,5001.0,5001.0,5001.0,3501.0,5001.0,3001.0,7501.0,1001.0,5001.0,5001.0,5001.0,7501.0,5001.0,5001.0,5001.0,5001.0,2501.0,1001.0,5001.0,3001.0,5001.0,5001.0,950.0,970.0,990.0
burnley,England,7501.0,10001.0,5001.0,5001.0,5001.0,5001.0,10001.0,1001.0,5001.0,7501.0,7501.0,10001.0,7501.0,7501.0,5001.0,7501.0,7501.0,1001.0,7501.0,7501.0,7501.0,7501.0,950.0,970.0,990.0
psg,France,1.14,1.14,,1.14,,,1.17,1.14,1.15,,1.14,1.18,1.12,1.14,,1.16,1.17,,1.14,1.17,,,1.16,,
monaco,France,8.5,8.0,,7.5,,,8.0,8.0,7.0,,8.5,8.5,7.0,7.5,,7.0,7.0,,7.5,8.0,,,6.32,,
lille,France,29.0,26.0,,26.0,,,26.0,34.0,26.0,,21.0,41.0,26.0,29.0,,26.0,23.0,,29.0,15.0,,,23.0,,
lyon,France,26.0,26.0,,29.0,,,34.0,26.0,34.0,,34.0,41.0,26.0,26.0,,26.0,29.0,,26.0,31.0,,,23.0,,
marseille,France,51.0,26.0,,34.0,,,34.0,21.0,26.0,,51.0,51.0,26.0,34.0,,41.0,34.0,,34.0,34.0,,,10.0,,
st etienne,France,67.0,101.0,,67.0,,,51.0,31.0,51.0,,34.0,101.0,34.0,81.0,,101.0,101.0,,81.0,41.0,,,86.0,,
bordeaux,France,201.0,251.0,,151.0,,,126.0,151.0,151.0,,201.0,251.0,201.0,251.0,,251.0,126.0,,251.0,101.0,,,105.0,,
lorient,France,151.0,201.0,,501.0,,,251.0,501.0,151.0,,501.0,751.0,301.0,501.0,,751.0,501.0,,501.0,151.0,,,105.0,,
montpellier,France,1001.0,751.0,,501.0,,,1001.0,501.0,501.0,,1001.0,1001.0,301.0,501.0,,751.0,501.0,,501.0,301.0,,,105.0,,
bastia,France,1501.0,1001.0,,1001.0,,,1501.0,501.0,1001.0,,1501.0,1501.0,1001.0,1001.0,,1501.0,601.0,,1001.0,751.0,,,105.0,,
nantes,France,751.0,1001.0,,751.0,,,751.0,501.0,751.0,,1501.0,1501.0,1001.0,751.0,,1501.0,751.0,,751.0,501.0,,,105.0,,
nice,France,1001.0,1001.0,,1001.0,,,1001.0,501.0,751.0,,1501.0,1501.0,501.0,751.0,,1501.0,501.0,,751.0,151.0,,,105.0,,
reims,France,1501.0,1001.0,,1001.0,,,1001.0,501.0,1001.0,,1501.0,1501.0,1001.0,1001.0,,1501.0,1001.0,,1001.0,751.0,,,105.0,,
rennes,France,1001.0,501.0,,501.0,,,2001.0,501.0,751.0,,1001.0,1001.0,501.0,501.0,,1001.0,501.0,,501.0,501.0,,,105.0,,
toulouse,France,1501.0,501.0,,501.0,,,2001.0,501.0,751.0,,1001.0,1501.0,301.0,501.0,,1001.0,501.0,,501.0,301.0,,,105.0,,
caen,France,1501.0,2001.0,,1001.0,,,1001.0,501.0,1001.0,,2501.0,2501.0,1001.0,1501.0,,2501.0,1001.0,,1501.0,751.0,,,105.0,,
guingamp,France,2501.0,1001.0,,1001.0,,,2001.0,501.0,1501.0,,2501.0,2501.0,1001.0,1001.0,,2001.0,1001.0,,1001.0,1501.0,,,105.0,,
