name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Swansea,England,751.0,2001.0,2501.0,,2501.0,,2501.0,751.0,,1500.0,2501.0,1251.0,1501.0,2001.0,,,2501.0,1500.0,,660.0,950.0,970.0,
Aston Villa,England,1501.0,2001.0,2001.0,,2001.0,,2001.0,2001.0,,2000.0,3001.0,,2001.0,2001.0,,,3001.0,2000.0,,660.0,950.0,970.0,
West Brom,England,2501.0,2501.0,2001.0,,2001.0,,2501.0,2001.0,,3000.0,3001.0,,2001.0,2501.0,,,3001.0,3000.0,,660.0,950.0,970.0,
Stoke,England,3501.0,,2501.0,,2501.0,,5001.0,3001.0,,3000.0,5001.0,,5001.0,3001.0,,,5001.0,3000.0,,660.0,950.0,970.0,
West Ham,England,2501.0,,4001.0,,4001.0,,4001.0,2001.0,,,5001.0,,2501.0,4001.0,,,5001.0,,,660.0,950.0,970.0,
Cardiff,England,5001.0,,4001.0,,4001.0,,7501.0,3001.0,,4000.0,10001.0,,5001.0,5001.0,,,10001.0,4000.0,,660.0,950.0,970.0,
Crystal Palace,England,,,10001.0,,10000.0,,10001.0,10001.0,,,10001.0,,10001.0,10000.0,,,10001.0,,,660.0,950.0,970.0,
Fulham,England,,,5001.0,,5001.0,,7501.0,3001.0,,,10001.0,,7501.0,5001.0,,,10001.0,,,660.0,950.0,970.0,
Hull,England,4001.0,,5001.0,,5001.0,,7501.0,5001.0,,4000.0,10001.0,,5001.0,7501.0,,,10001.0,4000.0,,660.0,950.0,970.0,
Norwich,England,,,5001.0,,5001.0,,10001.0,5001.0,,,10000.0,,7501.0,7501.0,,,10001.0,,,660.0,950.0,970.0,
Sunderland,England,,,5001.0,,5001.0,,7501.0,5001.0,,,10001.0,,5001.0,7501.0,,,10001.0,,,660.0,950.0,970.0,
PSG,France,,1.07,,,,,,1.08,,1.06,,,,,,,,1.06,,,1.05,,
Monaco,France,,6.5,,,,,,9.0,,9.0,,,,,,,,9.0,,,4.51,3.76,
Lille,France,,21.0,,,,,,26.0,,25.0,,,,,,,,25.0,,7.0,22.0,9.54,
Marseille,France,,51.0,,,,,,41.0,,60.0,,,,,,,,60.0,,52.0,71.0,58.0,
Nantes,France,,,,,,,,151.0,,200.0,,,,,,,,200.0,,104.0,143.0,126.0,
Lyon,France,,,,,,,,151.0,,200.0,,,,,,,,200.0,,360.0,618.0,490.0,
Bordeaux,France,,,,,,,,,,300.0,,,,,,,,300.0,,200.0,323.0,257.0,
St Etienne,France,,,,,,,,401.0,,300.0,,,,,,,,300.0,,39.0,71.0,43.0,
Bastia,France,,,,,,,,401.0,,500.0,,,,,,,,500.0,,88.0,124.0,109.0,
Reims,France,,,,,,,,501.0,,500.0,,,,,,,,500.0,,88.0,124.0,109.0,
Rennes,France,,,,,,,,501.0,,300.0,,,,,,,,300.0,,88.0,124.0,109.0,
Nice,France,,,,,,,,501.0,,300.0,,,,,,,,300.0,,154.0,266.0,199.0,
Ajaccio,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0,
Evian,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0,
Guingamp,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0,
Lorient,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0,
Sochaux,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0,
Toulouse,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0,
Valenciennes,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0,
Montpellier,France,,,,,,,,,,,,,,,,,,,,345.0,580.0,456.0,
Juventus,Italy,,1.57,,,,,,1.53,,,,,,1.55,,,,,,1.5,1.61,1.56,
Roma,Italy,,3.75,,,,,,3.75,,,,,,3.5,,,,,,2.91,2.99,2.91,
Napoli,Italy,,9.0,,,,,,8.0,,,,,,8.5,,,,,,8.2,11.0,9.54,
Inter,Italy,,21.0,,,,,,21.0,,,,,,21.0,,,,,,8.6,29.0,13.1,
Fiorentina,Italy,,21.0,,,,,,26.0,,,,,,26.0,,,,,,18.5,44.0,19.4,
AC Milan,Italy,,201.0,,,,,,201.0,,,,,,201.0,,,,,,43.0,52.0,47.0,
Lazio,Italy,,201.0,,,,,,301.0,,,,,,251.0,,,,,,565.0,950.0,766.0,
Cagliari,Italy,,,,,,,,,,,,,,,,,,,,,8.98,,
Genoa,Italy,,,,,,,,,,,,,,,,,,,,170.0,276.0,218.0,
Verona,Italy,,,,,,,,,,,,,,,,,,,,174.0,285.0,223.0,
Udinese,Italy,,,,,,,,,,,,,,,,,,,,395.0,665.0,534.0,
Atalanta,Italy,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0,
Bologna,Italy,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0,
Catania,Italy,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0,
Chievo,Italy,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0,
Livorno,Italy,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0,
Parma,Italy,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0,
Sampdoria,Italy,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0,
Sassuolo,Italy,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0,
Torino,Italy,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0,
Celtic,Scotland,,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,1.01,1.02,1.01,
Inverness,Scotland,,81.0,,81.0,,,51.0,67.0,,,81.0,51.0,67.0,67.0,,,,,,30.0,40.0,32.0,
Motherwell,Scotland,,101.0,,101.0,,,101.0,81.0,,,81.0,67.0,81.0,101.0,,,,,,84.0,124.0,103.0,
Aberdeen,Scotland,,126.0,,151.0,,,101.0,101.0,,,51.0,67.0,81.0,81.0,,,,,,36.0,48.0,39.0,
Dundee Utd,Scotland,,201.0,,151.0,,,251.0,101.0,,,151.0,81.0,151.0,151.0,,,,,,98.0,143.0,120.0,
St Johnstone,Scotland,,501.0,,251.0,,,301.0,501.0,,,301.0,201.0,301.0,351.0,,,,,,112.0,162.0,138.0,
Hibernian,Scotland,,1001.0,,,,,301.0,1001.0,,,1001.0,751.0,,751.0,,,,,,112.0,162.0,138.0,
Partick,Scotland,,2001.0,,,,,1001.0,2501.0,,,3001.0,1501.0,,1001.0,,,,,,112.0,162.0,138.0,
Kilmarnock,Scotland,,2001.0,,,,,1001.0,2501.0,,,3001.0,,,1501.0,,,,,,134.0,200.0,169.0,
Ross County,Scotland,,2501.0,,,,,1001.0,2501.0,,,3001.0,2501.0,,1501.0,,,,,,134.0,200.0,169.0,
St Mirren,Scotland,,2501.0,,,,,751.0,5001.0,,,1501.0,1501.0,,1501.0,,,,,,134.0,200.0,169.0,
Hearts,Scotland,,7501.0,,,,,10001.0,10001.0,,,7501.0,,,7501.0,,,,,,134.0,200.0,169.0,
Ajax,Holland,,,,,,,,1.91,,,,,,,,,,,,,2.04,,
PSV Eindhoven,Holland,,,,,,,,4.0,,,,,,,,,,,,,3.94,,
Feyenoord,Holland,,,,,,,,8.0,,,,,,,,,,,,,8.41,,
Vitesse,Holland,,,,,,,,9.0,,,,,,,,,,,,,8.22,,
Twente,Holland,,,,,,,,9.0,,,,,,,,,,,,,8.79,,
AZ Alkmaar,Holland,,,,,,,,13.0,,,,,,,,,,,,,11.9,,
Heerenveen,Holland,,,,,,,,41.0,,,,,,,,,,,,,71.0,,
Groningen,Holland,,,,,,,,101.0,,,,,,,,,,,,,105.0,,
Zwolle,Holland,,,,,,,,101.0,,,,,,,,,,,,,152.0,,
Utrecht,Holland,,,,,,,,151.0,,,,,,,,,,,,,143.0,,
Cambuur,Holland,,,,,,,,,,,,,,,,,,,,,428.0,,
Den Haag,Holland,,,,,,,,,,,,,,,,,,,,,428.0,,
Go Ahead Eagles,Holland,,,,,,,,,,,,,,,,,,,,,428.0,,
Heracles,Holland,,,,,,,,,,,,,,,,,,,,,428.0,,
NAC Breda,Holland,,,,,,,,,,,,,,,,,,,,,428.0,,
NEC Nijmegen,Holland,,,,,,,,,,,,,,,,,,,,,428.0,,
Roda,Holland,,,,,,,,,,,,,,,,,,,,,428.0,,
Waalwijk,Holland,,,,,,,,,,,,,,,,,,,,,428.0,,
Porto,Portugal,,,,1.57,,,,1.57,,,,,,,,,,,,,1.69,,
Benfica,Portugal,,,,2.62,,,,2.62,,,,,,,,,,,,,2.54,,
Sporting Lisbon,Portugal,,,,10.0,,,,10.0,,,,,,,,,,,,,8.41,,
Braga,Portugal,,,,126.0,,,,151.0,,,,,,,,,,,,,105.0,,
Gil Vicente,Portugal,,,,,,,,,,,,,,,,,,,,,48.0,,
Academica,Portugal,,,,,,,,,,,,,,,,,,,,,105.0,,
Arouca,Portugal,,,,,,,,,,,,,,,,,,,,,105.0,,
Belenenses,Portugal,,,,,,,,,,,,,,,,,,,,,105.0,,
Estoril,Portugal,,,,,,,,,,,,,,,,,,,,,105.0,,
Guimaraes,Portugal,,,,,,,,,,,,,,,,,,,,,105.0,,
Maritimo,Portugal,,,,,,,,,,,,,,,,,,,,,105.0,,
Nacional,Portugal,,,,,,,,,,,,,,,,,,,,,105.0,,
Olhanense,Portugal,,,,,,,,,,,,,,,,,,,,,105.0,,
Rio Ave,Portugal,,,,,,,,,,,,,,,,,,,,,105.0,,
