name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
hamburg,Germany,501.0,301.0,301.0,501.0,301.0,,751.0,501.0,,501.0,501.0,,1001.0,501.0,501.0,501.0,,501.0,501.0,251.0,501.0,95.0,,
hannover 96,Germany,501.0,,501.0,,501.0,,,501.0,,801.0,501.0,,1001.0,501.0,751.0,1001.0,,501.0,801.0,251.0,801.0,95.0,,
hertha berlin,Germany,1001.0,751.0,751.0,751.0,751.0,,1001.0,501.0,,801.0,751.0,,1001.0,751.0,751.0,1001.0,,751.0,801.0,751.0,801.0,95.0,,
vfb stuttgart,Germany,501.0,501.0,251.0,401.0,251.0,,751.0,501.0,,301.0,301.0,,1001.0,251.0,751.0,751.0,,251.0,301.0,251.0,301.0,95.0,,
werder bremen,Germany,501.0,301.0,251.0,501.0,251.0,,1001.0,501.0,,501.0,351.0,,1001.0,251.0,751.0,501.0,,251.0,501.0,251.0,501.0,95.0,,
ingolstadt,Germany,1501.0,1501.0,1001.0,1001.0,1001.0,,2001.0,501.0,,2001.0,1001.0,,2001.0,751.0,2001.0,1001.0,,751.0,2001.0,751.0,2001.0,95.0,,
darmstadt,Germany,10001.0,1501.0,1001.0,1501.0,1001.0,,5001.0,501.0,,3001.0,1501.0,,2001.0,1501.0,5001.0,2501.0,,1501.0,3001.0,1001.0,3001.0,95.0,,
barcelona,Spain,1.73,1.67,1.73,1.73,1.73,,1.67,1.67,,1.7,1.67,1.62,1.67,1.73,1.61,1.73,1.63,1.73,1.7,1.7,1.7,1.62,,
real madrid,Spain,2.63,2.62,2.63,2.5,2.63,,2.5,2.5,,2.65,2.3,2.75,2.4,2.5,2.5,2.5,2.4,2.5,2.65,2.4,2.65,2.37,,
atletico madrid,Spain,15.0,15.0,17.0,21.0,17.0,,21.0,15.0,,21.0,21.0,17.0,21.0,15.0,17.0,15.0,16.5,15.0,21.0,11.0,21.0,14.8,,
seville,Spain,41.0,51.0,41.0,51.0,41.0,,51.0,51.0,,51.0,67.0,67.0,67.0,41.0,51.0,41.0,47.0,41.0,51.0,41.0,51.0,42.0,,
valencia,Spain,41.0,34.0,29.0,51.0,29.0,,51.0,34.0,,51.0,67.0,67.0,67.0,34.0,51.0,34.0,44.0,34.0,51.0,29.0,51.0,42.0,,
villarreal,Spain,101.0,101.0,301.0,251.0,301.0,,251.0,226.0,,101.0,301.0,201.0,301.0,101.0,251.0,251.0,175.0,101.0,101.0,101.0,101.0,95.0,,
