name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Granada,Spain,,,3001.0,,3001.0,,5001.0,3001.0,3001.0,,4001.0,,2501.0,,,4001.0,,5001.0,,3001.0,615.0,950.0,888.0,
Osasuna,Spain,,,4001.0,,4001.0,,5001.0,2501.0,3001.0,,7501.0,,4001.0,,,2501.0,,5001.0,,5001.0,615.0,950.0,888.0,
Rayo Vallecano,Spain,3001.0,,2001.0,,2001.0,,5001.0,1001.0,1501.0,,7501.0,,2501.0,,,2001.0,,5001.0,,3001.0,615.0,950.0,888.0,
Almeria,Spain,,,7501.0,,7501.0,,7501.0,,,,9001.0,,5001.0,,,5001.0,,8001.0,,,615.0,950.0,888.0,
Elche,Spain,,,7501.0,,7501.0,,7501.0,5001.0,7501.0,,9001.0,,5001.0,,,5001.0,,8001.0,,5001.0,615.0,950.0,888.0,
Man City,England,3.5,3.4,3.0,3.6,3.0,3.0,3.25,3.5,3.25,3.5,3.3,3.4,3.25,3.0,3.5,3.5,3.5,3.5,3.4,3.5,3.9,3.85,3.85,
Chelsea,England,3.75,3.5,3.5,3.6,3.5,3.4,3.5,3.5,3.5,3.7,3.5,3.5,3.5,3.5,3.5,3.75,3.7,3.5,3.5,3.5,4.1,4.14,4.14,
Man Utd,England,4.5,4.5,4.5,4.5,4.5,4.33,5.0,4.5,4.5,4.75,4.2,4.33,4.5,4.5,4.5,4.5,4.75,4.7,4.75,4.5,4.5,4.51,4.51,
Arsenal,England,8.5,9.0,9.0,8.5,9.0,9.0,10.0,8.5,8.0,8.5,9.0,8.5,9.0,9.0,9.0,8.5,8.5,9.5,9.0,9.0,8.2,8.22,8.22,
Liverpool,England,9.0,10.0,10.0,9.0,10.0,11.0,9.0,11.0,10.0,9.5,11.0,9.0,9.0,10.0,9.0,9.0,9.5,11.0,10.0,10.0,8.6,8.6,8.6,
Tottenham,England,13.0,15.0,15.0,13.0,15.0,13.0,13.0,15.0,13.0,13.0,15.0,15.0,13.0,15.0,13.0,13.0,13.0,15.0,15.0,15.0,12.0,12.4,12.4,
Everton,England,151.0,301.0,401.0,301.0,401.0,401.0,301.0,176.0,251.0,250.0,751.0,251.0,251.0,251.0,301.0,301.0,250.0,120.0,301.0,151.0,205.0,257.0,261.0,
Southampton,England,1501.0,1501.0,2001.0,2001.0,2001.0,1501.0,2001.0,2001.0,1501.0,1500.0,2001.0,2001.0,1001.0,2001.0,1001.0,2001.0,1500.0,2001.0,2001.0,2001.0,660.0,950.0,950.0,
Aston Villa,England,2001.0,2001.0,2001.0,1001.0,2001.0,1501.0,1501.0,2001.0,1501.0,2000.0,2501.0,2501.0,1501.0,2001.0,1001.0,2501.0,2000.0,2501.0,2001.0,2001.0,660.0,950.0,950.0,
