name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
valencia,Spain,,51.0,67.0,67.0,67.0,67.0,67.0,67.0,,81.0,,67.0,67.0,,,81.0,51.0,,,81.0,51.0,81.0,71.0,58.0,
seville,Spain,,251.0,201.0,151.0,201.0,201.0,251.0,201.0,,151.0,,251.0,151.0,,,151.0,201.0,,,151.0,201.0,151.0,580.0,500.0,
villarreal,Spain,,301.0,251.0,251.0,251.0,251.0,301.0,376.0,,301.0,,,251.0,,,251.0,301.0,,,301.0,251.0,301.0,950.0,844.0,
athletic bilbao,Spain,,251.0,251.0,251.0,251.0,251.0,251.0,201.0,,1001.0,,,251.0,,,,301.0,,,1001.0,751.0,1001.0,950.0,844.0,
celta vigo,Spain,,751.0,751.0,501.0,751.0,1001.0,1001.0,1001.0,,1001.0,,,751.0,,,,1001.0,,,1001.0,1001.0,1001.0,950.0,844.0,
malaga,Spain,,1501.0,1501.0,1001.0,1501.0,1501.0,1001.0,1001.0,,1501.0,,,1001.0,,,,1251.0,,,1501.0,1501.0,1501.0,950.0,844.0,
real sociedad,Spain,,501.0,251.0,501.0,251.0,401.0,501.0,201.0,,1501.0,,,501.0,,,751.0,501.0,,,1501.0,751.0,1501.0,950.0,844.0,
espanyol,Spain,,1501.0,1501.0,1501.0,1501.0,2001.0,1501.0,1001.0,,2001.0,,,1001.0,,,,1751.0,,,2001.0,2501.0,2001.0,950.0,844.0,
granada,Spain,,1501.0,1251.0,1501.0,1251.0,1501.0,1501.0,1001.0,,3001.0,,,1001.0,,,,1501.0,,,3001.0,1501.0,3001.0,950.0,844.0,
rayo vallecano,Spain,,1501.0,1501.0,3001.0,1501.0,1501.0,2001.0,1001.0,,2501.0,,,1001.0,,,,2001.0,,,2501.0,2001.0,2501.0,950.0,844.0,
almeria,Spain,,3001.0,2501.0,2501.0,2501.0,3001.0,3001.0,1001.0,,4001.0,,,1001.0,,,,3001.0,,,4001.0,3001.0,4001.0,950.0,844.0,
eibar,Spain,,2001.0,2501.0,3001.0,2501.0,2001.0,4001.0,1001.0,,4001.0,,,3001.0,,,,3001.0,,,4001.0,3001.0,4001.0,950.0,844.0,
getafe,Spain,,2501.0,1251.0,1001.0,1251.0,2501.0,2501.0,1001.0,,4001.0,,,1001.0,,,,2501.0,,,4001.0,2501.0,4001.0,950.0,844.0,
cordoba,Spain,,3001.0,4001.0,5001.0,4001.0,,5001.0,1001.0,,5001.0,,,2501.0,,,,2501.0,,,5001.0,5001.0,5001.0,950.0,844.0,
deportivo la coruna,Spain,,2001.0,1501.0,1501.0,1501.0,2001.0,5001.0,1001.0,,4001.0,,,2501.0,,,,2501.0,,,4001.0,2501.0,4001.0,950.0,844.0,
elche,Spain,,2501.0,2501.0,2001.0,2501.0,2501.0,5001.0,1001.0,,5001.0,,,1001.0,,,,3001.0,,,5001.0,5001.0,5001.0,950.0,844.0,
levante,Spain,,2001.0,2501.0,5001.0,2501.0,2001.0,2001.0,1001.0,,5001.0,,,1001.0,,,,2501.0,,,5001.0,2501.0,5001.0,950.0,844.0,
chelsea,England,1.5,1.5,1.5,1.44,1.5,1.5,1.5,1.53,,1.5,1.44,1.5,1.44,1.44,1.44,1.5,1.5,1.5,1.44,1.5,1.53,1.5,1.56,1.55,1.59
man city,England,3.25,3.4,3.25,3.4,3.25,3.2,3.25,3.5,,3.5,3.3,3.5,3.5,3.25,3.25,3.3,3.2,3.3,3.25,3.5,3.4,3.5,3.42,3.42,3.49
man utd,England,26.0,26.0,19.0,23.0,19.0,21.0,26.0,23.0,,23.0,23.0,21.0,21.0,23.0,26.0,21.0,21.0,22.0,23.0,23.0,23.0,23.0,26.0,26.0,26.0
arsenal,England,34.0,34.0,29.0,34.0,29.0,29.0,34.0,34.0,,34.0,34.0,34.0,34.0,34.0,34.0,34.0,29.0,32.0,34.0,34.0,34.0,34.0,40.0,42.0,41.0
liverpool,England,41.0,34.0,34.0,34.0,34.0,29.0,34.0,34.0,,41.0,34.0,41.0,34.0,34.0,41.0,34.0,34.0,36.0,34.0,41.0,34.0,41.0,44.0,45.0,46.0
tottenham,England,201.0,201.0,201.0,201.0,201.0,151.0,201.0,201.0,,201.0,251.0,201.0,201.0,201.0,201.0,251.0,201.0,151.0,201.0,201.0,201.0,201.0,238.0,243.0,199.0
southampton,England,201.0,251.0,401.0,301.0,401.0,201.0,301.0,251.0,,201.0,401.0,201.0,301.0,301.0,251.0,251.0,201.0,251.0,301.0,201.0,301.0,201.0,228.0,223.0,65.0
everton,England,251.0,251.0,301.0,251.0,301.0,501.0,301.0,201.0,,301.0,401.0,201.0,251.0,301.0,201.0,301.0,201.0,301.0,301.0,301.0,301.0,301.0,475.0,451.0,80.0
swansea,England,2001.0,,2001.0,,2001.0,2001.0,2501.0,1501.0,,2001.0,2501.0,2001.0,2501.0,2001.0,2501.0,1501.0,2001.0,1001.0,2001.0,2001.0,2001.0,2001.0,950.0,970.0,496.0
